model,truth
23.70523452758789,26.009349822998047
22.62177085876465,28.15582847595215
26.53156852722168,30.39836311340332
26.99587631225586,25.89389991760254
29.33168601989746,27.84232521057129
24.896162033081055,28.788734436035156
22.846115112304688,27.40967559814453
25.618534088134766,28.231477737426758
26.291765213012695,27.18778419494629
28.734729766845703,30.310224533081055
34.456546783447266,31.078857421875
31.937841415405273,27.384611129760742
24.247251510620117,29.548261642456055
22.346485137939453,27.928550720214844
23.88050079345703,24.940711975097656
30.698955535888672,25.378353118896484
29.107019424438477,29.00686264038086
24.959064483642578,24.453094482421875
29.747438430786133,28.506315231323242
31.766984939575195,32.44933319091797
27.4443416595459,31.40965461730957
27.800731658935547,30.472267150878906
25.945524215698242,26.50028419494629
24.074703216552734,27.57957649230957
26.559425354003906,23.85764503479004
28.871261596679687,28.731422424316406
20.73647689819336,27.01959228515625
31.233646392822266,28.323392868041992
32.87869644165039,27.708860397338867
28.539976119995117,30.35076332092285
28.6909236907959,31.535844802856445
31.131826400756836,29.640796661376953
22.235868453979492,27.842023849487305
20.221712112426758,26.211475372314453
24.037893295288086,28.65792465209961
21.985273361206055,27.645483016967773
28.25084686279297,31.665576934814453
31.766254425048828,31.418668746948242
25.183195114135742,30.889036178588867
26.317550659179687,29.424327850341797
27.048559188842773,28.530977249145508
19.399309158325195,26.25296974182129
25.67852210998535,27.51342010498047
27.415159225463867,26.592405319213867
30.36791229248047,32.08934020996094
26.83784294128418,28.66349220275879
26.429243087768555,29.72713851928711
22.53879165649414,31.058652877807617
33.14959716796875,32.10881805419922
29.480207443237305,32.11899948120117
31.71414566040039,32.41633987426758
26.277788162231445,30.380369186401367
27.244112014770508,29.421194076538086
25.70115089416504,29.960031509399414
27.342119216918945,26.39480972290039
33.81782531738281,25.563386917114258
27.82809829711914,28.74941635131836
33.557373046875,24.512144088745117
36.01897048950195,26.6683349609375
23.439374923706055,25.791885375976562
23.762731552124023,29.041723251342773
34.540889739990234,26.21076202392578
29.193286895751953,25.858386993408203
31.78411865234375,26.005451202392578
33.20729064941406,26.44317054748535
25.302085876464844,26.81475830078125
25.955350875854492,24.13206672668457
32.27105712890625,26.41646957397461
27.289283752441406,25.988630294799805
30.138986587524414,26.96062469482422
31.259756088256836,26.951101303100586
28.55399513244629,25.2979679107666
28.519010543823242,27.081268310546875
31.67172622680664,27.301555633544922
27.764610290527344,25.042648315429688
30.1005916595459,23.51849937438965
27.565269470214844,26.03190803527832
22.18644905090332,24.246919631958008
23.60962677001953,30.734146118164063
24.390560150146484,27.740432739257812
24.116214752197266,28.029863357543945
