model,truth
26.94649887084961,30.891586303710938
30.28970718383789,31.55978012084961
30.67639923095703,34.93757247924805
28.046777725219727,33.85407638549805
30.857942581176758,33.933494567871094
31.37462043762207,31.392059326171875
29.031461715698242,31.91568374633789
30.729873657226562,34.339805603027344
31.130756378173828,33.36802673339844
28.51204490661621,29.64096450805664
31.196557998657227,32.82185745239258
28.962718963623047,33.344844818115234
26.832048416137695,33.816043853759766
29.604625701904297,29.331663131713867
31.057767868041992,33.10978317260742
26.143972396850586,35.265106201171875
30.10310173034668,32.1256103515625
30.08089828491211,33.65666961669922
26.57103157043457,31.60226058959961
30.499897003173828,33.98369598388672
31.2996768951416,33.48590850830078
28.394107818603516,34.83744812011719
31.024608612060547,35.86161804199219
31.838171005249023,34.82198715209961
29.492488861083984,36.348480224609375
32.06550216674805,36.064491271972656
31.74820899963379,35.70938491821289
29.594160079956055,35.70877456665039
31.261947631835938,35.138084411621094
30.849685668945313,35.419124603271484
28.95880699157715,37.93910598754883
30.59234046936035,36.276981353759766
30.65078353881836,36.28380584716797
31.014955520629883,36.56572341918945
32.557926177978516,35.78497314453125
32.17365646362305,34.10503005981445
29.47726058959961,34.82975769042969
30.757768630981445,36.39645767211914
31.02897834777832,36.624080657958984
28.23210334777832,36.57786560058594
30.907567977905273,35.1611328125
31.959449768066406,35.8951301574707
27.074928283691406,36.844581604003906
31.295698165893555,37.17792510986328
32.25533676147461,35.982059478759766
30.028121948242188,33.27204513549805
31.2314395904541,35.986053466796875
31.3249568939209,35.45164108276367
31.34445571899414,35.77485656738281
33.106544494628906,35.626251220703125
32.65816879272461,34.770816802978516
30.37164878845215,37.06818389892578
30.74571418762207,36.22956466674805
30.167863845825195,36.73793029785156
29.345428466796875,34.1273078918457
31.426511764526367,35.927490234375
32.96794509887695,33.5648307800293
28.971450805664063,34.122013092041016
32.03712463378906,32.91398620605469
32.724796295166016,33.1712760925293
26.997474670410156,34.788455963134766
30.787933349609375,35.74212646484375
32.1519660949707,37.726051330566406
29.011350631713867,36.254364013671875
32.08920669555664,35.279640197753906
31.481266021728516,35.777767181396484
27.059688568115234,37.08010482788086
31.42578887939453,35.90027618408203
31.9486141204834,37.13274002075195
26.57810401916504,36.44993209838867
31.52402114868164,34.772926330566406
32.97401428222656,33.534297943115234
27.034460067749023,34.826595306396484
31.10295867919922,36.05175018310547
32.51833724975586,35.949951171875
25.61964225769043,36.027217864990234
31.58550453186035,36.51239013671875
32.833168029785156,33.97799301147461
25.499608993530273,38.21393966674805
31.58064842224121,36.386962890625
32.241600036621094,35.61439514160156
